"日期","收市","開市","高","低","成交量","升跌（%）"
"2002年8月7日","108.130","108.750","108.820","107.900","1.10K","-0.78%"
"2002年8月6日","108.980","108.120","109.250","108.080","1.06K","1.30%"
"2002年8月5日","107.580","107.230","107.580","106.900","0.58K","0.58%"
"2002年8月2日","106.960","107.000","107.200","106.550","0.52K","-0.27%"
"2002年8月1日","107.250","107.810","108.150","107.030","1.04K","-0.42%"
"2002年7月31日","107.700","107.210","107.800","107.180","0.97K","0.51%"
"2002年7月30日","107.150","107.420","107.520","106.620","0.51K","-0.22%"
"2002年7月29日","107.390","106.930","107.720","106.840","1.66K","0.47%"
"2002年7月26日","106.890","105.570","107.020","105.540","0.72K","1.34%"
"2002年7月25日","105.480","105.580","105.740","105.250","0.60K","-0.37%"
"2002年7月24日","105.870","106.580","106.740","105.770","1.15K","-1.13%"
"2002年7月23日","107.080","106.160","107.200","106.220","2.25K","1.85%"
"2002年7月22日","105.130","104.640","105.250","104.530","0.82K","0.68%"
"2002年7月19日","104.420","104.120","104.570","104.120","0.56K","-0.41%"
"2002年7月18日","104.850","104.900","105.350","104.820","0.31K","0.07%"
"2002年7月17日","104.780","104.300","105.380","104.340","1.17K","-0.07%"
"2002年7月16日","104.850","105.000","105.100","104.350","0.97K","-0.19%"
"2002年7月15日","105.050","105.710","105.840","104.800","1.79K","-1.10%"
"2002年7月12日","106.220","106.550","106.650","106.040","0.67K","0.03%"
"2002年7月11日","106.190","106.480","106.900","105.900","0.89K","-0.36%"
"2002年7月10日","106.570","105.890","106.800","105.890","0.72K","0.49%"
"2002年7月9日","106.050","106.570","106.700","105.980","0.75K","-0.66%"
"2002年7月8日","106.750","106.830","107.300","106.720","0.76K","-1.27%"
"2002年7月5日","108.120","108.130","108.330","107.900","0.48K","0.53%"
"2002年7月3日","107.550","107.430","107.950","107.350","0.85K","0.29%"
"2002年7月2日","107.240","107.240","107.700","107.040","0.85K","0.23%"
"2002年7月1日","106.990","106.220","107.120","106.250","1.25K","0.41%"
"2002年6月28日","106.550","106.740","107.300","105.970","1.24K","-0.33%"
"2002年6月27日","106.900","107.200","107.580","106.700","1.67K","-0.23%"
"2002年6月26日","107.150","106.720","107.630","106.470","2.21K","-0.88%"
"2002年6月25日","108.100","108.620","109.000","108.020","1.55K","-0.56%"
"2002年6月24日","108.710","108.560","108.900","107.800","2.56K","0.01%"
"2002年6月21日","108.700","109.200","109.400","108.510","1.59K","-0.71%"
"2002年6月20日","109.480","110.050","110.110","109.360","1.75K","-0.64%"
"2002年6月19日","110.190","110.190","110.530","110.120","1.72K","-0.42%"
"2002年6月18日","110.660","110.660","111.280","110.600","0.94K","-0.31%"
"2002年6月17日","111.000","110.820","111.160","110.940","0.32K","0.18%"
"2002年6月14日","110.800","110.950","111.020","110.300","0.24K","-0.31%"
"2002年6月13日","111.150","111.160","111.420","110.750","0.40K","0.05%"
"2002年6月12日","111.100","110.800","111.100","110.780","0.25K","0.26%"
"2002年6月11日","110.810","111.060","111.470","110.820","1.01K","-0.28%"
"2002年6月10日","111.120","111.320","111.420","110.750","2.24K","0.04%"
"2002年6月7日","111.080","110.680","111.180","110.620","2.43K","0.19%"
"2002年6月6日","110.870","111.740","111.820","110.740","1.19K","-0.48%"
"2002年6月5日","111.410","111.250","111.840","111.300","2.60K","0.22%"
"2002年6月4日","111.160","110.850","111.250","110.780","0.75K","-0.20%"
"2002年6月3日","111.380","111.980","112.000","111.190","0.47K","-0.47%"
"2002年5月31日","111.910","111.360","112.270","111.330","1.53K","0.57%"
"2002年5月30日","111.280","111.430","111.570","110.950","2.65K","-0.26%"
"2002年5月29日","111.570","112.200","112.300","111.540","1.55K","-0.58%"
"2002年5月28日","112.220","112.840","112.920","112.020","1.04K","-0.59%"
"2002年5月24日","112.890","113.060","113.450","112.750","0.00K","-0.05%"
"2002年5月23日","112.950","112.630","113.280","112.310","1.24K","0.44%"
"2002年5月22日","112.460","112.870","112.870","112.300","1.01K","-0.43%"
"2002年5月21日","112.940","113.380","113.400","112.830","0.79K","0.01%"
"2002年5月20日","112.930","113.140","113.380","112.900","1.02K","-0.22%"
"2002年5月17日","113.180","113.850","113.990","113.050","1.19K","-1.01%"
"2002年5月16日","114.340","114.290","114.650","114.010","1.00K","0.03%"
"2002年5月15日","114.300","115.260","115.350","114.200","0.73K","-0.82%"
"2002年5月14日","115.250","114.820","115.450","114.830","1.75K","0.83%"
"2002年5月13日","114.300","113.950","114.580","113.860","1.82K","0.11%"
"2002年5月10日","114.180","114.140","114.480","114.120","0.81K","-0.48%"
"2002年5月9日","114.730","115.000","115.250","114.450","0.53K","-0.36%"
"2002年5月8日","115.140","114.350","115.260","114.360","2.43K","0.84%"
"2002年5月7日","114.180","113.610","114.500","113.650","1.68K","0.27%"
"2002年5月6日","113.870","114.070","114.180","113.850","1.17K","0.00%"
"2002年5月3日","113.870","115.010","115.050","113.740","1.98K","-1.07%"
"2002年5月2日","115.100","114.590","115.280","114.650","1.40K","0.27%"
"2002年5月1日","114.790","115.340","115.470","114.480","1.61K","-0.53%"
"2002年4月30日","115.400","115.100","115.630","115.120","2.96K","0.23%"
"2002年4月29日","115.130","115.150","115.400","114.930","1.00K","-0.09%"
"2002年4月26日","115.230","115.600","115.880","115.220","2.63K","-0.45%"
"2002年4月25日","115.750","116.150","116.200","115.580","2.13K","-0.52%"
"2002年4月24日","116.360","116.810","116.840","116.250","1.92K","-0.40%"
"2002年4月23日","116.830","116.910","117.000","116.660","0.60K","0.11%"
"2002年4月22日","116.700","116.780","117.000","116.650","0.53K","0.09%"
"2002年4月19日","116.590","116.540","116.900","116.560","0.93K","-0.05%"
"2002年4月18日","116.650","116.680","117.080","116.440","1.36K","-0.18%"
"2002年4月17日","116.860","117.300","117.400","116.820","4.19K","-0.74%"
"2002年4月16日","117.730","117.900","118.020","117.430","2.66K","-0.21%"
"2002年4月15日","117.980","117.750","118.100","117.800","0.20K","-0.03%"
"2002年4月12日","118.020","117.920","118.240","117.870","0.53K","0.31%"
"2002年4月11日","117.650","117.880","118.110","117.500","0.66K","-0.15%"
"2002年4月10日","117.830","117.720","118.070","117.670","0.78K","-0.09%"
"2002年4月9日","117.940","118.610","118.650","117.870","1.57K","-0.51%"
"2002年4月8日","118.540","118.160","118.650","118.060","1.40K","0.41%"
"2002年4月5日","118.060","118.160","118.350","117.850","1.05K","-0.19%"
"2002年4月4日","118.290","117.920","118.450","117.500","3.89K","0.25%"
